municipality,gender,age_group,education,N
Zwijndrecht,Mannen,15 tot 75 jaar,low,4913.0
Zwolle,Mannen,15 tot 75 jaar,low,11239.0
Aa en Hunze,Mannen,15 tot 25 jaar,low,879.0
Aalburg,Mannen,15 tot 25 jaar,low,
Aalsmeer,Mannen,15 tot 25 jaar,low,1150.0
Aalten,Mannen,15 tot 25 jaar,low,860.0
Achtkarspelen,Mannen,15 tot 25 jaar,low,978.0
Alblasserdam,Mannen,15 tot 25 jaar,low,619.0
Albrandswaard,Mannen,15 tot 25 jaar,low,824.0
Alkmaar,Mannen,15 tot 25 jaar,low,3106.0
Almelo,Mannen,15 tot 25 jaar,low,2606.0
Almere,Mannen,15 tot 25 jaar,low,7560.0
Alphen aan den Rijn,Mannen,15 tot 25 jaar,low,3189.0
Alphen-Chaam,Mannen,15 tot 25 jaar,low,
Altena,Mannen,15 tot 25 jaar,low,1824.0
Ameland,Mannen,15 tot 25 jaar,low,
Amersfoort,Mannen,15 tot 25 jaar,low,5447.0
Amstelveen,Mannen,15 tot 25 jaar,low,3453.0
Amsterdam,Mannen,15 tot 25 jaar,low,23084.0
Apeldoorn,Mannen,15 tot 25 jaar,low,5396.0
Appingedam,Mannen,15 tot 25 jaar,low,
Arnhem,Mannen,15 tot 25 jaar,low,5421.0
Assen,Mannen,15 tot 25 jaar,low,2521.0
Asten,Mannen,15 tot 25 jaar,low,472.0
Baarle-Nassau,Mannen,15 tot 25 jaar,low,
Baarn,Mannen,15 tot 25 jaar,low,597.0
Barendrecht,Mannen,15 tot 25 jaar,low,1584.0
Barneveld,Mannen,15 tot 25 jaar,low,2058.0
Bedum,Mannen,15 tot 25 jaar,low,
Beek (L.),Mannen,15 tot 25 jaar,low,
Beekdaelen,Mannen,15 tot 25 jaar,low,898.0
Beemster,Mannen,15 tot 25 jaar,low,
Beesel,Mannen,15 tot 25 jaar,low,
Bellingwedde,Mannen,15 tot 25 jaar,low,
Berg en Dal,Mannen,15 tot 25 jaar,low,954.0
Bergambacht,Mannen,15 tot 25 jaar,low,
Bergeijk,Mannen,15 tot 25 jaar,low,550.0
Bergen (L.),Mannen,15 tot 25 jaar,low,
Bergen (NH.),Mannen,15 tot 25 jaar,low,711.0
Bergen op Zoom,Mannen,15 tot 25 jaar,low,2192.0
Berkelland,Mannen,15 tot 25 jaar,low,1248.0
Bernheze,Mannen,15 tot 25 jaar,low,979.0
Bernisse,Mannen,15 tot 25 jaar,low,
Best,Mannen,15 tot 25 jaar,low,825.0
Beuningen,Mannen,15 tot 25 jaar,low,662.0
