region,gender,age_group,education,N
Delft en Westland (CR),Vrouwen,45 tot 55 jaar,"2 Havo, vwo, mbo2-4",5581
Delft en Westland (CR),Vrouwen,45 tot 55 jaar,"3 Hbo, wo",5893
Delft en Westland (CR),Vrouwen,55 tot 65 jaar,"1 Basisonderwijs, vmbo, mbo1",4588
Delft en Westland (CR),Vrouwen,55 tot 65 jaar,"2 Havo, vwo, mbo2-4",6758
Delft en Westland (CR),Vrouwen,55 tot 65 jaar,"3 Hbo, wo",4154
Delft en Westland (CR),Vrouwen,65 tot 75 jaar,"1 Basisonderwijs, vmbo, mbo1",4724
Delft en Westland (CR),Vrouwen,65 tot 75 jaar,"2 Havo, vwo, mbo2-4",4650
Delft en Westland (CR),Vrouwen,65 tot 75 jaar,"3 Hbo, wo",3026
Delfzijl en omgeving (CR),Mannen,15 tot 25 jaar,"1 Basisonderwijs, vmbo, mbo1",1370
Delfzijl en omgeving (CR),Mannen,15 tot 25 jaar,"2 Havo, vwo, mbo2-4",1020
Delfzijl en omgeving (CR),Mannen,15 tot 25 jaar,"3 Hbo, wo",110
Delfzijl en omgeving (CR),Mannen,25 tot 35 jaar,"1 Basisonderwijs, vmbo, mbo1",382
Delfzijl en omgeving (CR),Mannen,25 tot 35 jaar,"2 Havo, vwo, mbo2-4",1695
Delfzijl en omgeving (CR),Mannen,25 tot 35 jaar,"3 Hbo, wo",422
Delfzijl en omgeving (CR),Mannen,35 tot 45 jaar,"1 Basisonderwijs, vmbo, mbo1",413
Delfzijl en omgeving (CR),Mannen,35 tot 45 jaar,"2 Havo, vwo, mbo2-4",1555
Delfzijl en omgeving (CR),Mannen,35 tot 45 jaar,"3 Hbo, wo",432
Delfzijl en omgeving (CR),Mannen,45 tot 55 jaar,"1 Basisonderwijs, vmbo, mbo1",669
Delfzijl en omgeving (CR),Mannen,45 tot 55 jaar,"2 Havo, vwo, mbo2-4",1546
