municipality_code,municipality,age_group,gender,education_level,N
0123,Järfälla,18-22,Men,"Tertiary education, 2 years or longer",145.9
0123,Järfälla,18-22,Men,"Tertiary education, shorter than 2 years",458.9
0123,Järfälla,18-22,Men,Upper secondary school,1896.3
0123,Järfälla,18-22,Women,"Primary school, 9/10 years",1689.5
0123,Järfälla,18-22,Women,"Primary school, shorter than 9 years",14.7
0123,Järfälla,18-22,Women,"Tertiary education, 2 years or longer",221.0
0123,Järfälla,18-22,Women,"Tertiary education, shorter than 2 years",628.1
0123,Järfälla,18-22,Women,Upper secondary school,1711.9
0123,Järfälla,23-30,Men,Postgraduate education,9.1
0123,Järfälla,23-30,Men,"Primary school, 9/10 years",250.0
0123,Järfälla,23-30,Men,"Primary school, shorter than 9 years",56.5
0123,Järfälla,23-30,Men,"Tertiary education, 2 years or longer",658.8
0123,Järfälla,23-30,Men,"Tertiary education, shorter than 2 years",571.9
0123,Järfälla,23-30,Men,Upper secondary school,1080.2
0123,Järfälla,23-30,Women,Postgraduate education,10.0
0123,Järfälla,23-30,Women,"Primary school, 9/10 years",133.5
0123,Järfälla,23-30,Women,"Primary school, shorter than 9 years",41.3
0123,Järfälla,23-30,Women,"Tertiary education, 2 years or longer",1060.9
0123,Järfälla,23-30,Women,"Tertiary education, shorter than 2 years",537.3
0123,Järfälla,23-30,Women,Upper secondary school,804.7
0123,Järfälla,31-40,Men,Postgraduate education,57.6
0123,Järfälla,31-40,Men,"Primary school, 9/10 years",560.8
0123,Järfälla,31-40,Men,"Primary school, shorter than 9 years",182.0
0123,Järfälla,31-40,Men,"Tertiary education, 2 years or longer",1683.7
0123,Järfälla,31-40,Men,"Tertiary education, shorter than 2 years",1281.4
0123,Järfälla,31-40,Men,Upper secondary school,2355.2
0123,Järfälla,31-40,Women,Postgraduate education,47.3
0123,Järfälla,31-40,Women,"Primary school, 9/10 years",301.3
0123,Järfälla,31-40,Women,"Primary school, shorter than 9 years",135.4
0123,Järfälla,31-40,Women,"Tertiary education, 2 years or longer",2530.8
0123,Järfälla,31-40,Women,"Tertiary education, shorter than 2 years",1134.7
0123,Järfälla,31-40,Women,Upper secondary school,1767.5
0123,Järfälla,41-50,Men,Postgraduate education,94.6
0123,Järfälla,41-50,Men,"Primary school, 9/10 years",461.7
0123,Järfälla,41-50,Men,"Primary school, shorter than 9 years",211.4
0123,Järfälla,41-50,Men,"Tertiary education, 2 years or longer",1496.0
0123,Järfälla,41-50,Men,"Tertiary education, shorter than 2 years",972.9
0123,Järfälla,41-50,Men,Upper secondary school,1973.9
0123,Järfälla,41-50,Women,Postgraduate education,70.3
0123,Järfälla,41-50,Women,"Primary school, 9/10 years",257.8
0123,Järfälla,41-50,Women,"Primary school, shorter than 9 years",179.6
0123,Järfälla,41-50,Women,"Tertiary education, 2 years or longer",2038.2
0123,Järfälla,41-50,Women,"Tertiary education, shorter than 2 years",806.1
0123,Järfälla,41-50,Women,Upper secondary school,1568.7
0123,Järfälla,51-60,Men,Postgraduate education,77.9
0123,Järfälla,51-60,Men,"Primary school, 9/10 years",425.2
0123,Järfälla,51-60,Men,"Primary school, shorter than 9 years",182.4
0123,Järfälla,51-60,Men,"Tertiary education, 2 years or longer",1065.0
0123,Järfälla,51-60,Men,"Tertiary education, shorter than 2 years",829.4
0123,Järfälla,51-60,Men,Upper secondary school,1896.0
0123,Järfälla,51-60,Women,Postgraduate education,63.8
0123,Järfälla,51-60,Women,"Primary school, 9/10 years",277.6
0123,Järfälla,51-60,Women,"Primary school, shorter than 9 years",202.5
0123,Järfälla,51-60,Women,"Tertiary education, 2 years or longer",1441.8
0123,Järfälla,51-60,Women,"Tertiary education, shorter than 2 years",723.8
0123,Järfälla,51-60,Women,Upper secondary school,1795.5
0123,Järfälla,61-70,Men,Postgraduate education,54.9
0123,Järfälla,61-70,Men,"Primary school, 9/10 years",378.0
0123,Järfälla,61-70,Men,"Primary school, shorter than 9 years",137.8
0123,Järfälla,61-70,Men,"Tertiary education, 2 years or longer",681.4
0123,Järfälla,61-70,Men,"Tertiary education, shorter than 2 years",649.0
0123,Järfälla,61-70,Men,Upper secondary school,1533.7
0123,Järfälla,61-70,Women,Postgraduate education,32.9
0123,Järfälla,61-70,Women,"Primary school, 9/10 years",275.7
0123,Järfälla,61-70,Women,"Primary school, shorter than 9 years",173.6
0123,Järfälla,61-70,Women,"Tertiary education, 2 years or longer",762.9
0123,Järfälla,61-70,Women,"Tertiary education, shorter than 2 years",591.0
0123,Järfälla,61-70,Women,Upper secondary school,1507.4
0123,Järfälla,71-104,Men,Postgraduate education,88.2
0123,Järfälla,71-104,Men,"Primary school, 9/10 years",334.8
0123,Järfälla,71-104,Men,"Primary school, shorter than 9 years",408.1
0123,Järfälla,71-104,Men,"Tertiary education, 2 years or longer",812.7
0123,Järfälla,71-104,Men,"Tertiary education, shorter than 2 years",555.2
0123,Järfälla,71-104,Men,Upper secondary school,1807.9
0123,Järfälla,71-104,Women,Postgraduate education,33.8
0123,Järfälla,71-104,Women,"Primary school, 9/10 years",470.1
0123,Järfälla,71-104,Women,"Primary school, shorter than 9 years",578.4
0123,Järfälla,71-104,Women,"Tertiary education, 2 years or longer",909.3
0123,Järfälla,71-104,Women,"Tertiary education, shorter than 2 years",813.5
0123,Järfälla,71-104,Women,Upper secondary school,2188.7
